frames_mean,frames_median,frames_std,frames_min,frames_max,fitness_mean,fitness_median,fitness_std,fitness_min,fitness_max,wins_mean,wins_median,wins_std,wins_min,wins_max
311.9,321.0,43.973742165069375,230.0,373.0,77.55,78.75,32.4610920949989,30.0,128.0,0.0,0.0,0.0,0.0,0.0
359.03333333333336,332.0,98.71591676230446,245.0,693.0,153.83333333333334,93.25,229.78879191311506,25.5,1275.0,1.0,1.0,0.0,1.0,1.0
337.73333333333335,319.5,78.74343711630125,237.0,522.0,105.18333333333334,72.25,76.78145211500554,3.0,335.5,0.0,0.0,0.0,0.0,0.0
358.3666666666667,334.5,112.92223971486848,240.0,845.0,125.16666666666667,85.75,118.6719802181159,-1.5,645.0,0.0,0.0,0.0,0.0,0.0
332.1333333333333,309.0,84.5066992742127,238.0,571.0,134.21666666666667,87.5,169.2805700276582,18.5,938.0,1.0,1.0,0.0,1.0,1.0
318.6,303.0,66.58958877582391,229.0,523.0,80.75,66.75,64.43753435175289,-8.0,299.0,0.0,0.0,0.0,0.0,0.0
324.46666666666664,297.5,59.32325757145244,241.0,462.0,110.33333333333333,75.25,110.67387024747782,18.5,602.5,1.0,1.0,0.0,1.0,1.0
359.06666666666666,332.0,83.58785132355592,238.0,581.0,190.96666666666667,118.5,240.04763184742222,29.5,1049.0,2.0,2.0,0.0,2.0,2.0
340.23333333333335,329.5,65.23326520180397,248.0,471.0,127.86666666666666,87.5,126.65194651309373,-3.5,610.0,1.0,1.0,0.0,1.0,1.0
333.8,324.5,59.79542903377593,238.0,460.0,149.86666666666667,91.0,212.01289006934357,-24.0,913.5,2.0,2.0,0.0,2.0,2.0
340.03333333333336,321.5,79.95185356756207,201.0,553.0,153.45,84.75,231.83263898769732,-47.0,973.5,2.0,2.0,0.0,2.0,2.0
333.1,317.5,75.12050319320284,237.0,556.0,151.56666666666666,89.0,211.47063363240036,13.0,897.0,2.0,2.0,0.0,2.0,2.0
104.66666666666667,0.0,150.75439923560734,0.0,443.0,60.25,0.0,191.52044059751603,0.0,1056.5,1.0,1.0,0.0,1.0,1.0
401.8333333333333,336.0,260.1732862706871,243.0,1727.0,165.33333333333334,96.0,266.4243273843855,23.5,1527.0,0.0,0.0,0.0,0.0,0.0
397.6666666666667,351.0,120.68784344562444,278.0,787.0,229.26666666666668,115.0,286.9317495309449,-9.5,1365.0,3.0,3.0,0.0,3.0,3.0
403.43333333333334,357.0,163.85332533159715,258.0,959.0,244.71666666666667,132.25,320.8415154800818,-5.5,1157.0,3.0,3.0,0.0,3.0,3.0
389.7,356.0,190.88253805241936,238.0,1345.0,164.51666666666668,136.75,191.9945955547245,-37.0,1080.5,0.0,0.0,0.0,0.0,0.0
362.03333333333336,342.5,129.37400133806725,246.0,942.0,143.4,117.75,130.37985529469907,11.5,658.0,0.0,0.0,0.0,0.0,0.0
424.6333333333333,343.0,284.4345833794165,244.0,1818.0,184.28333333333333,112.25,275.62119788256894,20.0,1534.0,0.0,0.0,0.0,0.0,0.0
354.5,330.0,82.19762770299396,247.0,596.0,174.88333333333333,96.25,251.61543683875115,5.5,1256.5,2.0,2.0,0.0,2.0,2.0
382.8666666666667,344.5,141.08501770996884,255.0,1027.0,147.66666666666666,108.25,142.69252102179553,-16.0,777.5,0.0,0.0,0.0,0.0,0.0
350.1666666666667,316.5,85.47634500582927,253.0,551.0,103.16666666666667,89.25,92.65323643684673,-27.5,321.5,0.0,0.0,0.0,0.0,0.0
355.7,331.0,93.2584759329324,250.0,729.0,119.05,81.0,108.34715424658523,11.5,526.0,0.0,0.0,0.0,0.0,0.0
385.46666666666664,368.5,109.65240028785914,257.0,678.0,176.66666666666666,140.75,205.59066667099026,8.0,1096.0,1.0,1.0,0.0,1.0,1.0
377.56666666666666,339.0,103.40524916828718,241.0,653.0,202.3,119.75,251.85040533353657,23.0,1094.0,2.0,2.0,0.0,2.0,2.0
369.8666666666667,293.0,169.45475961316507,246.0,964.0,142.53333333333333,52.0,171.6215280461309,-0.5,663.5,0.0,0.0,0.0,0.0,0.0
369.4,344.0,107.60842594022706,248.0,786.0,161.75,103.5,239.86120118379574,14.0,1322.0,1.0,1.0,0.0,1.0,1.0
373.7,335.5,101.65403746695618,239.0,665.0,175.91666666666666,97.0,206.5869503515543,21.0,1069.0,1.0,1.0,0.0,1.0,1.0
353.8,314.0,105.69970040954074,244.0,737.0,140.55,61.25,224.9330770844223,2.0,1219.5,1.0,1.0,0.0,1.0,1.0
406.8333333333333,347.0,168.5303302738775,264.0,997.0,236.13333333333333,122.25,315.2117524599755,-25.5,1260.0,2.0,2.0,0.0,2.0,2.0
406.56666666666666,359.0,161.17023780945277,254.0,960.0,197.96666666666667,91.5,244.85328713787408,-5.0,1107.5,1.0,1.0,0.0,1.0,1.0
366.2,335.0,111.98880896470564,259.0,856.0,217.25,97.5,336.88417272607705,1.5,1305.5,3.0,3.0,0.0,3.0,3.0
132.16666666666666,0.0,199.53346976273318,0.0,643.0,55.35,0.0,105.19483114678211,0.0,405.5,0.0,0.0,0.0,0.0,0.0
434.1333333333333,361.0,213.452529200809,252.0,1302.0,266.8833333333333,144.0,317.4960809031962,11.5,1130.5,2.0,2.0,0.0,2.0,2.0
387.1333333333333,336.5,126.5187030530357,243.0,843.0,199.76666666666668,110.5,283.9144158995023,-3.5,1371.5,2.0,2.0,0.0,2.0,2.0
404.6333333333333,322.0,202.88576150686922,243.0,1210.0,200.93333333333334,91.75,293.62463944445955,16.5,1460.5,1.0,1.0,0.0,1.0,1.0
404.53333333333336,320.0,196.1602632769667,245.0,1010.0,220.33333333333334,70.25,382.9244558511364,-13.0,1527.0,2.0,2.0,0.0,2.0,2.0
419.43333333333334,376.5,167.6879409962313,266.0,1006.0,178.98333333333332,138.75,188.82710272156964,-17.0,878.0,0.0,0.0,0.0,0.0,0.0
380.3666666666667,338.0,112.20739230945922,262.0,676.0,206.4,95.5,273.4696326834115,10.0,1259.0,2.0,2.0,0.0,2.0,2.0
370.43333333333334,345.0,116.24791993360091,252.0,820.0,173.08333333333334,123.25,233.04738728898508,-2.0,1208.0,1.0,1.0,0.0,1.0,1.0
434.76666666666665,341.5,287.8032526262033,252.0,1671.0,258.8666666666667,100.25,385.77201672605656,-3.0,1412.5,2.0,2.0,0.0,2.0,2.0
397.9,356.0,169.75224102595325,200.0,1027.0,209.51666666666668,103.0,257.41430558968983,-19.0,987.5,2.0,2.0,0.0,2.0,2.0
442.46666666666664,374.0,162.47148125816489,265.0,833.0,232.96666666666667,157.25,231.32033825171726,-1.5,1075.5,1.0,1.0,0.0,1.0,1.0
368.43333333333334,331.5,94.54017958283956,246.0,646.0,193.08333333333334,90.75,260.5522367118647,10.5,1263.5,2.0,2.0,0.0,2.0,2.0
359.5,317.5,115.93726751998256,252.0,784.0,173.38333333333333,70.5,271.21233020560766,-16.0,1115.5,2.0,2.0,0.0,2.0,2.0
347.8666666666667,318.0,87.04394803137602,249.0,619.0,134.1,80.0,169.9353994905123,8.0,893.0,1.0,1.0,0.0,1.0,1.0
371.4,323.5,134.34969296578242,237.0,842.0,134.85,89.0,132.60204561016394,-8.0,517.5,0.0,0.0,0.0,0.0,0.0
415.5,378.5,121.13154007111443,256.0,812.0,207.73333333333332,167.5,171.77168632292756,6.0,849.5,1.0,1.0,0.0,1.0,1.0
122.63333333333334,0.0,179.97119831301404,0.0,521.0,46.766666666666666,0.0,81.47174697743725,0.0,313.5,0.0,0.0,0.0,0.0,0.0
348.3,325.0,100.03204486563293,246.0,704.0,184.85,98.75,238.02503894898678,2.5,1058.5,2.0,2.0,0.0,2.0,2.0
325.8,304.5,64.79063718367544,242.0,489.0,176.81666666666666,77.25,271.9147992580683,19.5,1082.0,3.0,3.0,0.0,3.0,3.0
374.3,333.5,133.35795189389094,242.0,852.0,147.21666666666667,76.5,156.6519860142929,11.5,722.5,0.0,0.0,0.0,0.0,0.0
400.1666666666667,362.0,113.42841599685484,262.0,725.0,181.58333333333334,151.75,130.2749709482046,2.0,427.5,0.0,0.0,0.0,0.0,0.0
369.2,379.5,77.6,246.0,584.0,147.4,129.0,100.41110496354474,-4.5,421.5,0.0,0.0,0.0,0.0,0.0
339.5,319.0,82.68403715349173,244.0,678.0,101.25,98.0,71.28051977924964,20.5,362.5,0.0,0.0,0.0,0.0,0.0
350.1666666666667,332.5,89.94927582933741,242.0,603.0,214.5,129.5,294.48907732998634,10.0,1232.0,3.0,3.0,0.0,3.0,3.0
374.3333333333333,365.5,99.21872583114316,244.0,700.0,194.11666666666667,121.5,239.14819963547475,-2.5,1111.0,2.0,2.0,0.0,2.0,2.0
370.3666666666667,329.0,141.95996697034772,238.0,979.0,168.6,100.25,215.68651634567544,0.5,891.5,1.0,1.0,0.0,1.0,1.0
411.56666666666666,340.5,189.51740172225755,265.0,1131.0,180.76666666666668,111.0,207.24975807518382,-6.0,943.0,0.0,0.0,0.0,0.0,0.0
364.5,342.5,92.54683499000204,240.0,642.0,208.8,139.25,256.99719842830973,1.0,1150.5,3.0,3.0,0.0,3.0,3.0
400.8,345.0,125.08967450060243,257.0,669.0,284.96666666666664,120.25,360.82331625818694,3.0,1285.0,4.0,4.0,0.0,4.0,4.0
419.53333333333336,396.5,121.68805291491117,254.0,803.0,281.5833333333333,192.75,300.03436145807626,12.0,1162.5,3.0,3.0,0.0,3.0,3.0
398.6,329.0,148.17300698845253,241.0,799.0,342.6666666666667,94.75,436.6254369848626,6.5,1543.5,6.0,6.0,0.0,6.0,6.0
374.8666666666667,321.5,115.42782256554187,247.0,701.0,220.18333333333334,90.75,303.6335643318915,3.5,1128.5,3.0,3.0,0.0,3.0,3.0
388.46666666666664,362.0,126.77611061324693,239.0,772.0,206.03333333333333,131.75,237.82829707351667,-4.5,983.5,2.0,2.0,0.0,2.0,2.0
393.23333333333335,347.0,150.9895544584312,241.0,933.0,178.46666666666667,98.5,189.99596194539384,24.5,809.0,1.0,1.0,0.0,1.0,1.0
402.1,384.0,125.12403179778589,272.0,848.0,305.0,165.0,355.8588203206435,4.5,1258.0,5.0,5.0,0.0,5.0,5.0
410.8333333333333,363.5,161.7263291970592,246.0,972.0,207.16666666666666,135.25,217.3454367795397,-19.5,898.5,1.0,1.0,0.0,1.0,1.0
432.93333333333334,357.0,187.6045367847543,246.0,1093.0,219.76666666666668,131.75,247.6638088664192,11.5,945.5,1.0,1.0,0.0,1.0,1.0
337.3333333333333,322.5,66.097570975709,254.0,503.0,139.98333333333332,94.0,196.833367908549,8.5,1126.5,1.0,1.0,0.0,1.0,1.0
378.3,362.5,85.52432402539058,245.0,598.0,169.73333333333332,130.25,161.39086784022888,20.5,865.5,1.0,1.0,0.0,1.0,1.0
380.53333333333336,347.5,115.63613429873706,247.0,701.0,215.61666666666667,154.0,240.1767641874533,12.5,1067.0,2.0,2.0,0.0,2.0,2.0
386.73333333333335,350.0,117.26890276435417,245.0,688.0,186.71666666666667,147.5,185.66945015866833,-4.5,938.0,1.0,1.0,0.0,1.0,1.0
355.2,313.5,119.12637547299646,247.0,748.0,161.81666666666666,64.75,219.8517486600661,-22.0,1066.5,1.0,1.0,0.0,1.0,1.0
383.6,323.5,128.34630237499377,247.0,748.0,226.91666666666666,94.25,321.0357997517134,11.0,1280.0,3.0,3.0,0.0,3.0,3.0
393.76666666666665,339.0,133.10138575119677,269.0,946.0,182.01666666666668,107.75,205.11413421691728,13.0,1051.0,1.0,1.0,0.0,1.0,1.0
350.1666666666667,329.0,85.23500193908343,269.0,574.0,134.6,70.5,197.01088802398715,6.0,1096.5,1.0,1.0,0.0,1.0,1.0
382.3333333333333,357.0,109.26339226332344,247.0,704.0,180.46666666666667,125.5,191.02277060311133,12.5,989.5,1.0,1.0,0.0,1.0,1.0
375.5,346.0,146.3445136199737,237.0,872.0,276.1333333333333,153.5,328.37430201253903,-14.5,1133.0,4.0,4.0,0.0,4.0,4.0
